id,location_on_wall
A1,0.9977233907377037
A2,0.9975547522966157
A3,0.9974082036111603
A4,0.9972190497046293
A5,0.9970179219192887
A6,0.9966704176912136
A7,0.9964570481349538
A8,0.9962615250921929
A9,0.9960633567185917
A10,0.995912014880959
A11,0.99575391403357
A12,0.9955797144578189
A13,0.9954179400982769
B1,0.9521491814329147
B2,0.952037919737207
B3,0.9519451329846158
B5,0.9509974592812054
B6,0.9501698680244546
B7,0.9494923059211765
B8,0.9492932375814446
B10,0.9477627587547355
B4,0.9518366858465517
B9,0.9490846913803475
C1,0.8626184582520053
C2,0.8617751095764814
C3,0.8609251264169613
C4,0.8600446620631901
C5,0.8590227261962936
C6,0.8582594423635401
C7,0.8574071759083418
C8,0.8565621251818392
C9,0.855680650644556
C10,0.8548067736214093
C11,0.854091095994894
C12,0.8531275105560693
C13,0.852485953133986
C14,0.8518297172205958
C15,0.8511982598034638
C16,0.8487959162340147
C17,0.8487132703328019
C18,0.8478710712880356
C19,0.8470071881280767
C20,0.846126158833132
C21,0.845257454886903
C22,0.8443404760915356
C23,0.8434796405098597
C24,0.8425506154170631
D1,0.7782801361510182
D2,0.7773296397600539
D3,0.776441824181439
D4,0.7755822464266662
D5,0.7746877107789331
D6,0.7738662359120475
D7,0.7730014460291847
D8,0.7722665946986998
D9,0.7713283276541163
D10,0.7704431238883405
D11,0.7695710519498129
D12,0.768660766373455
D13,0.7677671395532327
D14,0.7669199841867915
E1,0.7357188878569672
E2,0.7341277024936064
E3,0.7326247974113926
E4,0.7310382143149872
E5,0.729455419661025
E6,0.7281645455007183
E7,0.7265812743660387
E8,0.724973337692703
E9,0.7234255857409543
E10,0.7220710547242623
E11,0.7203820163997651
E12,0.7188920709908208
E13,0.717436245025569
E14,0.7156347028510389
E15,0.7140218435513347
E16,0.7124677427145245
E17,0.7108484768771054
E18,0.7095540945064006
F28,0.5979605239440065
F27,0.59876826859297
F26,0.5994836465747783
F25,0.6002711188095093
F24,0.60113668224253
F23,0.6019934496582926
F22,0.6028681002214241
F21,0.6037415857355874
F20,0.6046030484114963
F19,0.6054582064341695
F18,0.6077867135515107
F17,0.6091890546458761
F16,0.6106721478126591
F15,0.6113934557447345
F14,0.6122395797132786
F13,0.6129328776457952
F12,0.6137507073283133
F11,0.6144415934977004
F10,0.6151778412813105
F9,0.615992531258026
F8,0.6168673226705162
F7,0.6177228370194945
F6,0.6185952692682366
F5,0.6194629946329054
F4,0.6201797203934177
F3,0.6207149834597198
F2,0.6215778987420524
F1,0.6224022962113304
G1,0.5970871037766555
G2,0.5962329816449314
G3,0.5953742492808946
G4,0.5945053940486417
G5,0.593501465986446
G6,0.5927733717001437
G7,0.5919127576514731
G8,0.5910358502462908
G9,0.5901753624587859
G10,0.5892998079812188
G11,0.5884266261879758
G12,0.5875569340425236
G13,0.5867017436826953
G14,0.5858355179716555
G15,0.5849654134840299
G16,0.5840792872622312
G17,0.5832100899800445
G18,0.5819429749188028
G19,0.5809948522401656
G20,0.5801212090042818
G21,0.5792320326106257
G22,0.5783467642210682
G23,0.5774392421588503
G24,0.5765843350959077
G25,0.575740672805895
G26,0.5749157801641143
G27,0.5740047713803161
G28,0.573097320534706
H1,0.5722442209710865
H2,0.5713176884378988
H3,0.5703466722242073
H4,0.5694761412956028
H5,0.5686091277490486
H6,0.5674617939657516
H7,0.5662909593365494
H8,0.5653684028143556
H9,0.5642281144148479
H10,0.5627171608676117
H11,0.5612311499280463
H12,0.5597225872666367
H13,0.5581762348076897
