id,longitude,latitude,Elevation
A1,-1.530998376475403,54.98750926566445,0
A2,-1.531300347032433,54.98757092107063,0
A3,-1.531558268880652,54.9876352041082,0
A4,-1.531899638723705,54.98769801611001,0
A5,-1.532276902053531,54.98773078216537,0
A6,-1.53272409331744,54.98773163411084,0
A7,-1.533129637864974,54.98776814367684,0
A8,-1.533513036099754,54.98784579432756,0
A9,-1.533850792999213,54.98773370555896,0
A10,-1.534099592141511,54.98761376914608,0
A11,-1.534362661984471,54.98750033466036,0
A12,-1.534658317255486,54.98739711360378,0
A13,-1.534934879645166,54.98730874521692,0
B1,-1.610254976056145,54.96920655435255,0
B2,-1.610441607887654,54.96913160170039,0
B3,-1.610599654258035,54.96907840880535,0
B5,-1.61234955123043,54.96906071843491,0
B6,-1.614040123473126,54.96945650663388,0
B7,-1.615206110767442,54.96989171775234,0
B8,-1.615561516741253,54.96992664074142,0
B10,-1.618309197679608,54.97008476063782,0
B4,-1.610786115970195,54.96902297976974,0
B9,-1.615930829808001,54.96998504816503,0
C1,-1.768308088215931,54.99597924039877,0
C2,-1.769818514418822,54.99607165565139,0
C3,-1.771342377743638,54.99607115677847,0
C4,-1.772920102785061,54.99611794408985,0
C5,-1.774751745708204,54.99614745387444,0
C6,-1.776119031903678,54.99621573474344,0
C7,-1.777646752388735,54.99622946987444,0
C8,-1.779161382968962,54.99625244969426,0
C9,-1.78074115565336,54.99628498894231,0
C10,-1.78230725108284,54.99632092397626,0
C11,-1.783588189358659,54.99639897640038,0
C12,-1.78532378855648,54.99643376176698,0
C13,-1.786480106820449,54.99645068247282,0
C14,-1.787645960793062,54.99660832646849,0
C15,-1.788753062543097,54.99688219924147,0
C16,-1.793067730676113,54.9970718183559,0
C17,-1.793155868418708,54.99757843840903,0
C18,-1.79464552612005,54.99781792875792,0
C19,-1.796174614252553,54.99806309054892,0
C20,-1.797740069079431,54.99827343949304,0
C21,-1.79927728361938,54.99852264947506,0
C22,-1.800901993335904,54.99877205657108,0
C23,-1.802427560427028,54.99900400213285,0
C24,-1.80407109085595,54.99927332144359,0
D1,-1.91847604263041,55.00923969694775,0
D2,-1.920174500036669,55.00937501865401,0
D3,-1.921762212127129,55.00948460645997,0
D4,-1.92329846959139,55.00960346156991,0
D5,-1.924898719048256,55.0097069465807,0
D6,-1.926368239071633,55.0098023771551,0
